SKU,PRICE,FIRST_MINIMUM_PRICE,SECOND_MINIMUM_PRICE
11333,359.99,304.0,359.99
11334,339.0,329.0,339.0
11335,315.0,304.0,315.0
11336,364.99,334.0,364.99
11337,364.99,334.0,364.99
11338,278.0,156.0,278.0
11340,3500.0,949.0,3500.0
11342,499.0,349.0,499.0
11343,289.99,228.0,289.99
11344,115.0,95.0,115.0
11345,699.99,626.0,699.99
11346,1099.0,499.97,1099.0
11347,1200.0,158.0,1200.0
11348,325.55,255.0,325.55
11349,249.0,239.0,249.0
11350,232.89,225.0,232.89
11351,475.0,449.98,475.0
11352,411.0,320.0,411.0
11353,375.0,349.95,375.0
11354,390.0,325.0,390.0
11355,390.0,390.0,390.0
11356,259.99,250.0,259.99
11357,385.0,383.0,385.0
11358,650.0,499.0,650.0
11359,127.0,119.0,127.0
11360,140.0,139.0,140.0
11361,127.0,79.99,127.0
11362,175.0,132.0,175.0
11363,129.94,96.95,129.94
11364,139.0,120.0,139.0
11365,475.0,425.0,475.0
11366,475.0,425.0,475.0
11367,443.0,350.0,443.0
11368,455.0,395.0,455.0
11369,450.0,435.0,450.0
11370,525.0,509.0,525.0
11371,875.0,873.0,875.0
11372,1050.0,899.0,1050.0
11373,479.0,398.0,479.0
11374,65.0,59.0,65.0
11376,304.0,295.0,304.0
11377,199.0,185.0,199.0
11378,215.0,180.0,215.0
11379,162.0,119.99,162.0
11380,200.0,158.0,200.0
11381,125.0,120.0,125.0
11382,217.0,210.0,217.0
11383,315.0,312.0,315.0
11384,218.0,150.0,218.0
11385,599.0,540.0,599.0
11386,269.98,125.0,269.98
11388,297.0,260.0,297.0
11389,354.0,316.0,354.0
11390,194.99,189.0,194.99
11391,194.99,189.0,194.99
11392,239.0,199.0,239.0
11393,179.95,159.0,179.95
11394,169.0,165.0,169.0
11395,311.0,285.0,311.0
11397,219.99,171.0,219.99
11398,206947.0,195761.0,206947.0
11399,190.0,189.98,190.0
11400,215.0,215.0,215.0
11401,109.0,108.95,109.0
11402,175.0,162.0,175.0
11403,209.0,209.0,209.0
11404,155.0,130.0,155.0
11405,275.0,269.94,275.0
11406,228.0,225.0,228.0
11407,119.0,114.98,119.0
11408,245.0,163.89,245.0
11409,228.0,219.0,228.0
11410,209.0,206.0,209.0
11411,129.0,129.0,129.0
11412,140.0,135.0,140.0
11413,195.0,195.0,195.0
11414,69.0,45.0,69.0
11415,245.0,234.0,245.0
11416,144.0,74.95,144.0
11417,525.0,525.0,525.0
11418,849.0,585.0,849.0
11419,825.0,819.0,825.0
11420,425.0,407.0,425.0
11421,325.0,300.0,325.0
11422,219.0,215.0,219.0
11423,221.0,188.0,221.0
11424,177.0,177.0,177.0
11425,197.0,195.0,197.0
11426,219.0,159.0,219.0
11427,380.0,375.0,380.0
11428,133.0,129.94,133.0
11429,210.0,200.0,210.0
11430,241.0,239.0,241.0
11431,235.0,179.0,235.0
11432,245.0,199.0,245.0
11433,284.0,278.0,284.0
11434,202.0,189.0,202.0
11435,506.75,399.99,506.75
11436,625.0,621.0,625.0
11437,400.0,399.98,400.0
11438,1099.0,500.0,1099.0
11439,875.0,799.0,875.0
11440,895.0,399.0,895.0
11441,810.0,695.0,810.0
11442,750.0,514.99,750.0
11444,750.0,550.0,750.0
11445,750.0,550.0,750.0
11446,889.0,799.0,889.0
11448,1333.33,898.0,1333.33
11449,725.0,725.0,725.0
11451,846.0,845.0,846.0
11452,863.0,835.0,863.0
11453,435.0,425.0,435.0
11454,899.0,899.0,899.0
11455,899.0,895.99,899.0
11456,633.0,599.0,633.0
11458,899.99,392.0,899.99
11459,83.0,75.0,83.0
11460,450.0,449.0,450.0
11461,495.0,459.0,495.0
11463,650.0,557.0,650.0
11464,560.0,535.0,560.0
11465,795.0,789.0,795.0
11466,999.0,724.99,999.0
11467,475.0,475.0,475.0
11468,495.0,480.0,495.0
11469,550.0,549.99,550.0
11470,575.0,549.0,575.0
11471,869.0,549.0,869.0
11472,348.0,300.0,348.0
11473,149.99,149.94,149.99
11476,190.0,185.0,190.0
11477,159.98,152.0,159.98
11478,140.0,133.0,140.0
11479,400.0,389.0,400.0
11480,481.0,459.0,481.0
11481,345.0,327.97,345.0
11482,144.95,139.0,144.95
11483,144.95,139.0,144.95
11484,195.0,170.0,195.0
11485,195.0,170.0,195.0
11486,309.0,300.0,309.0
11487,299.0,299.0,299.0
11488,175.0,175.0,175.0
11489,188.0,179.99,188.0
11491,275.0,248.99,275.0
11492,198.98,123.95,198.98
11493,331.99,319.0,331.99
11494,350.0,325.0,350.0
11495,170.0,139.0,170.0
11496,195.0,185.0,195.0
11497,230.0,139.97,230.0
11498,134.0,109.95,134.0
11499,195.0,160.0,195.0
11500,375.0,345.0,375.0
11501,175.0,137.0,175.0
11502,164.0,139.0,164.0
11503,135.0,124.95,135.0
11505,179.0,175.0,179.0
11506,139.0,135.0,139.0
11507,185.0,177.0,185.0
11508,1000.0,999.0,1000.0
11509,475.0,450.0,475.0
11510,493.0,315.0,493.0
11511,495.0,390.0,495.0
11512,825.0,799.99,825.0
11513,499.0,495.0,499.0
11514,495.0,485.0,495.0
11515,475.89,395.0,475.89
11516,500.0,450.0,500.0
11517,848.0,848.0,848.0
11518,789.99,675.0,789.99
11519,280.0,200.0,280.0
11520,463.65,325.0,463.65
11522,159.0,147.0,159.0
11523,195.0,190.0,195.0
11524,225.0,209.99,225.0
11525,162.0,162.0,162.0
11526,288.0,288.0,288.0
11527,241.0,234.95,241.0
11528,1199.0,1099.0,1199.0
11529,425.0,425.0,425.0
11530,545.0,449.0,545.0
11531,479.0,419.99,479.0
11532,499.0,495.0,499.0
11533,450.0,449.0,450.0
11534,545.0,525.0,545.0
11535,695.0,685.0,695.0
11536,695.0,685.0,695.0
11537,579.0,575.0,579.0
11539,538.89,499.0,538.89
11540,259.0,250.0,259.0
11541,349.0,340.0,349.0
11542,234.0,225.0,234.0
11543,248.0,199.99,248.0
11544,159.0,139.0,159.0
11545,188.95,175.0,188.95
11546,160.0,127.0,160.0
11547,209.0,205.0,209.0
11548,177.98,170.0,177.98
11549,177.98,170.0,177.98
11550,218.0,206.0,218.0
11551,275.0,250.0,275.0
11552,479.0,475.0,479.0
11553,260.0,244.95,260.0
11554,215.0,180.0,215.0
11555,324.0,269.0,324.0
11556,395.0,390.0,395.0
11557,385.0,385.0,385.0
11559,145.0,139.0,145.0
11560,2176.0,1895.0,2176.0
11561,7528.89,6319.0,7528.89
11562,2530.0,2525.0,2530.0
11563,2395.0,2300.0,2395.0
11564,3400.0,3200.0,3400.0
11565,135.0,133.13,135.0
11566,165.0,139.0,165.0
11567,132.0,119.0,132.0
11568,177.0,99.0,177.0
11570,245.0,245.0,245.0
11571,190.0,190.0,190.0
11572,88.0,73.0,88.0
11573,88.0,73.0,88.0
11574,228.0,224.95,228.0
11575,151.0,142.0,151.0
11576,152.0,150.0,152.0
11577,162.0,129.0,162.0
11578,129.0,120.0,129.0
11579,129.0,114.95,129.0
11580,155.0,152.0,155.0
11581,137.0,74.98,137.0
11582,149.99,105.0,149.99
11583,209.0,209.0,209.0
11584,209.0,129.99,209.0
11585,81.95,75.0,81.95
11586,145.0,139.0,145.0
11587,130.0,129.0,130.0
11588,249.0,236.0,249.0
11589,155.0,155.0,155.0
11590,144304.0,139829.0,144304.0
11592,163.0,158.0,163.0
11593,395.0,389.0,395.0
11594,329.0,325.0,329.0
11595,184.94,99.0,184.94
11596,196.0,194.94,196.0
11597,219.95,202.0,219.95
11598,175.0,169.0,175.0
11599,185.0,145.0,185.0
11600,247.0,240.0,247.0
11601,219.65,182.0,219.65
11603,247.0,135.0,247.0
11604,449.99,395.0,449.99
11605,499.99,430.0,499.99
11606,191.0,158.0,191.0
11607,329.99,239.0,329.99
11608,506.0,333.33,506.0
11609,473.99,455.0,473.99
11610,475.0,470.0,475.0
11611,990.0,152.0,990.0
11612,274.97,145.0,274.97
11613,166.0,149.99,166.0
11614,180.0,109.0,180.0
11615,274.94,259.99,274.94
11616,459.98,455.0,459.98
11618,316.0,299.95,316.0
11619,350.0,221.0,350.0
11620,152.0,145.0,152.0
11621,229.0,215.0,229.0
11622,499.0,485.0,499.0
11624,525.0,500.0,525.0
11625,949.0,750.0,949.0
